material_type,quantity,distance,vehicle_type,season,fire_risk,delay_risk,weather_risk,overall_risk,premium
metal,321.24,71.86,Electric Box Truck,spring,0.0,1.85,0.8,1.04,1412.41
textile,399.06,510.91,Heavy Duty Dump,summer,0.0,4.62,2.63,2.03,2396.69
textile,4665.04,145.26,Electric Box Truck,summer,0.49,1.68,1.88,1.11,2312.48
battery,3372.28,432.44,Flatbed Carrier,winter,5.61,4.12,1.44,4.21,3822.38
battery,5663.06,239.3,Compact Logistics Van,spring,4.86,2.68,0.39,3.39,3632.39
paper,7572.83,444.95,Compact Logistics Van,winter,0.51,4.03,1.82,1.95,3572.87
metal,6606.25,290.83,Compact Logistics Van,spring,0.54,2.13,1.72,1.45,2990.78
battery,1040.52,351.92,Compact Logistics Van,summer,4.85,3.03,1.51,3.08,2793.91
textile,1327.0,25.93,Compact Logistics Van,monsoon,0.95,5.44,4.93,3.5,2646.87
metal,5026.81,342.0,Flatbed Carrier,monsoon,0.72,6.21,6.35,4.13,3975.57
paper,2494.79,319.26,Compact Logistics Van,spring,0.82,1.66,0.97,1.07,2115.6
metal,1663.62,141.1,Compact Logistics Van,winter,0.49,3.35,0.63,0.94,1690.67
paper,1722.06,294.23,Compact Logistics Van,spring,0.02,2.43,0.97,1.16,1986.04
textile,2075.18,224.46,Compact Logistics Van,winter,0.22,0.54,1.08,0.37,1611.0
textile,7894.15,392.0,Flatbed Carrier,spring,0.59,5.35,0.22,1.93,3557.69
metal,5780.08,279.39,Compact Logistics Van,winter,0.74,2.97,1.56,1.57,2883.39
textile,8574.44,503.38,Flatbed Carrier,spring,0.67,3.77,0.26,1.29,3526.84
battery,8967.34,69.09,Electric Box Truck,spring,5.54,0.89,0.0,3.04,3866.7
plastic,6336.6,479.07,Compact Logistics Van,spring,0.89,3.36,1.04,1.1,3011.73
metal,553.88,595.12,Electric Box Truck,winter,0.0,3.19,0.74,0.83,1985.68
battery,7533.17,521.11,Heavy Duty Dump,monsoon,5.62,7.15,5.9,6.84,5861.07
plastic,3546.92,175.32,Compact Logistics Van,summer,0.62,1.75,1.82,1.44,2296.78
metal,6383.74,561.1,Compact Logistics Van,monsoon,0.12,6.25,6.53,3.93,4391.78
metal,3862.31,98.59,Electric Box Truck,monsoon,1.01,4.68,6.12,3.73,3290.46
metal,1480.56,370.4,Flatbed Carrier,spring,0.65,4.34,0.93,2.03,2425.1
paper,7676.17,210.58,Heavy Duty Dump,summer,0.09,2.38,2.0,0.6,2704.02
textile,1910.18,458.27,Electric Box Truck,monsoon,0.76,7.32,4.8,3.67,3344.77
textile,4789.07,265.23,Compact Logistics Van,winter,0.44,2.58,2.12,1.5,2653.2
textile,5038.27,74.25,Heavy Duty Dump,spring,0.0,2.44,1.14,1.29,2378.05
battery,793.92,427.24,Electric Box Truck,summer,5.05,4.04,2.39,3.7,3120.28
metal,6141.65,333.44,Flatbed Carrier,spring,0.45,1.27,0.0,0.46,2512.71
textile,9552.21,518.8,Flatbed Carrier,winter,0.2,3.15,0.7,1.43,3785.49
paper,2781.27,98.5,Compact Logistics Van,spring,1.16,0.82,1.47,1.23,1971.15
paper,765.39,368.82,Compact Logistics Van,summer,0.58,3.78,2.53,2.6,2548.68
textile,4425.11,19.46,Compact Logistics Van,summer,0.0,1.11,1.56,1.16,2142.5
plastic,8991.09,516.11,Flatbed Carrier,summer,1.16,3.98,2.11,2.55,4183.44
paper,8085.31,578.6,Compact Logistics Van,monsoon,1.28,6.43,5.3,4.43,4943.8
paper,4094.52,176.41,Heavy Duty Dump,summer,1.35,3.05,1.86,1.95,2628.05
battery,2745.41,286.01,Compact Logistics Van,winter,5.35,0.62,0.25,2.43,2732.79
battery,3456.3,588.08,Flatbed Carrier,winter,5.24,3.74,1.74,3.39,3652.74
textile,7966.47,140.98,Compact Logistics Van,monsoon,0.55,5.24,5.95,3.57,4010.35
textile,5870.91,301.36,Compact Logistics Van,winter,0.39,2.96,2.44,2.29,3250.51
battery,9080.74,115.32,Flatbed Carrier,winter,5.09,0.79,0.78,1.67,3325.65
paper,7856.62,312.38,Electric Box Truck,winter,0.73,2.82,1.73,1.49,3258.81
paper,6671.29,70.6,Compact Logistics Van,monsoon,0.36,3.84,6.05,2.99,3429.06
metal,7416.49,37.09,Flatbed Carrier,summer,0.0,0.1,2.6,0.42,2368.93
battery,4111.19,25.17,Flatbed Carrier,winter,4.64,0.44,1.1,2.01,2472.63
metal,9873.57,80.53,Flatbed Carrier,winter,0.0,2.01,0.0,0.0,2673.87
textile,9130.56,84.69,Compact Logistics Van,winter,0.0,2.62,1.55,1.26,3109.93
metal,4632.58,232.77,Compact Logistics Van,monsoon,1.07,4.85,6.65,3.87,3653.75
plastic,6722.16,305.1,Electric Box Truck,monsoon,0.0,5.12,5.73,3.87,4119.36
textile,6423.12,536.01,Heavy Duty Dump,summer,0.61,5.3,2.11,2.86,3887.14
paper,7755.93,531.9,Compact Logistics Van,summer,0.34,2.63,2.14,1.67,3584.88
battery,7243.35,125.23,Flatbed Carrier,summer,5.22,2.61,1.67,3.66,3902.67
battery,2182.78,331.73,Flatbed Carrier,spring,4.45,2.79,1.84,2.71,2808.56
plastic,2156.0,471.29,Flatbed Carrier,monsoon,0.52,5.52,5.83,3.44,3301.9
battery,2462.5,141.8,Electric Box Truck,monsoon,4.43,4.39,5.82,5.24,3771.24
metal,1246.07,172.87,Compact Logistics Van,spring,0.79,2.51,1.86,1.81,2047.49
battery,5127.22,210.5,Heavy Duty Dump,winter,5.3,3.1,1.86,2.89,3275.04
metal,5088.72,264.39,Heavy Duty Dump,spring,0.63,2.27,1.72,1.96,2914.15
textile,7122.09,423.27,Heavy Duty Dump,monsoon,0.32,6.83,4.86,2.99,3934.85
textile,6844.02,375.47,Electric Box Truck,spring,0.59,3.86,1.19,1.75,3269.85
battery,5374.7,412.57,Electric Box Truck,summer,5.57,2.62,1.98,2.97,3597.62
plastic,6777.39,439.7,Flatbed Carrier,monsoon,1.28,5.55,5.45,4.24,4454.27
battery,4340.93,418.38,Heavy Duty Dump,winter,4.56,1.69,1.15,3.6,3705.25
textile,4196.85,266.01,Compact Logistics Van,summer,0.13,2.5,1.84,0.58,2136.72
metal,1529.59,157.64,Electric Box Truck,spring,0.0,2.73,0.79,1.33,1861.07
paper,4756.23,405.72,Flatbed Carrier,monsoon,0.98,6.71,6.33,4.46,4152.2
plastic,4567.92,255.74,Electric Box Truck,spring,1.08,2.82,0.92,1.98,2822.26
paper,3172.25,463.23,Electric Box Truck,monsoon,0.0,6.6,5.99,3.57,3531.14
textile,1853.36,352.03,Heavy Duty Dump,winter,0.0,2.62,0.55,1.38,2178.53
battery,2671.11,266.3,Flatbed Carrier,winter,5.25,2.36,1.13,3.47,3163.05
battery,6200.15,62.9,Compact Logistics Van,summer,5.56,1.02,1.93,3.36,3504.91
metal,3893.18,309.86,Flatbed Carrier,monsoon,1.31,5.4,5.43,3.52,3455.62
battery,6780.65,346.04,Compact Logistics Van,summer,4.97,1.91,2.12,3.17,3863.9
paper,3123.28,565.7,Flatbed Carrier,monsoon,0.0,7.84,5.97,3.58,3650.39
metal,6988.61,494.25,Flatbed Carrier,summer,1.01,3.34,1.75,1.68,3407.95
battery,801.12,66.45,Compact Logistics Van,spring,4.43,1.25,0.74,1.91,1883.5
textile,1013.16,407.53,Electric Box Truck,spring,0.98,2.46,0.97,2.04,2388.55
metal,2932.63,80.29,Flatbed Carrier,monsoon,0.0,5.45,5.03,3.02,2781.29
plastic,840.66,189.96,Flatbed Carrier,monsoon,0.94,3.91,6.37,3.09,2569.75
paper,9782.9,17.09,Compact Logistics Van,winter,1.02,0.05,0.0,0.0,2581.43
plastic,4887.08,435.49,Electric Box Truck,monsoon,0.0,6.32,5.91,3.6,3822.87
plastic,1411.07,236.97,Flatbed Carrier,monsoon,0.47,6.08,5.65,3.54,2932.72
metal,7176.8,16.95,Heavy Duty Dump,summer,0.56,1.95,1.82,1.14,2624.46
metal,8757.14,336.51,Heavy Duty Dump,monsoon,0.22,5.55,5.92,3.23,4232.33
textile,1121.63,515.14,Electric Box Truck,summer,0.88,3.71,2.31,1.79,2427.5
textile,3238.09,19.02,Compact Logistics Van,summer,0.58,0.71,1.26,0.62,1685.58
metal,5935.91,467.28,Flatbed Carrier,spring,0.96,3.39,1.54,2.17,3404.29
textile,7546.69,315.19,Flatbed Carrier,monsoon,1.12,5.78,6.38,4.27,4458.6
paper,5087.93,207.32,Flatbed Carrier,monsoon,0.0,3.9,5.86,2.12,2918.94
battery,9741.89,11.68,Flatbed Carrier,summer,4.05,1.59,1.16,2.85,3849.94
metal,4568.1,188.15,Compact Logistics Van,monsoon,0.0,4.85,6.1,3.84,3575.79
metal,5944.49,388.71,Flatbed Carrier,spring,0.44,3.09,0.55,1.33,2935.24
textile,1302.19,556.79,Compact Logistics Van,monsoon,0.16,7.8,5.69,3.98,3495.36
battery,9935.63,398.2,Compact Logistics Van,summer,5.99,3.75,2.77,4.23,4971.95
textile,3936.46,558.4,Electric Box Truck,monsoon,1.18,7.3,5.28,4.33,4128.32
battery,813.84,574.21,Flatbed Carrier,summer,5.07,4.32,1.71,4.02,3445.9
textile,5775.81,241.78,Flatbed Carrier,summer,0.27,1.5,2.07,1.5,2804.68
battery,855.85,105.33,Flatbed Carrier,winter,5.61,2.67,0.71,3.1,2476.04
battery,6319.79,441.37,Compact Logistics Van,summer,4.56,2.56,1.73,2.87,3758.12
textile,7599.84,376.66,Flatbed Carrier,summer,0.0,2.91,2.16,0.92,3033.22
textile,8370.43,261.62,Compact Logistics Van,winter,0.97,1.17,1.13,1.37,3238.41
textile,8515.06,573.12,Heavy Duty Dump,monsoon,0.0,7.36,5.75,3.97,4807.84
plastic,6410.57,25.18,Compact Logistics Van,winter,0.95,0.0,0.55,0.0,1984.12
paper,1519.34,467.24,Compact Logistics Van,summer,0.24,3.5,1.26,1.66,2380.42
paper,3482.61,167.0,Flatbed Carrier,spring,1.2,1.23,1.82,0.76,1967.38
plastic,7641.61,521.02,Flatbed Carrier,spring,0.38,3.87,0.86,1.73,3580.2
paper,1522.87,76.23,Compact Logistics Van,winter,0.79,0.43,2.73,1.69,1924.82
textile,3965.85,488.24,Electric Box Truck,monsoon,0.78,6.58,5.27,4.31,4041.42
metal,6158.07,124.67,Compact Logistics Van,summer,0.75,1.94,1.92,1.02,2517.17
textile,4482.99,536.91,Heavy Duty Dump,winter,0.89,4.07,1.59,2.6,3421.17
metal,5047.11,437.73,Compact Logistics Van,summer,0.0,3.14,3.5,2.41,3318.04
plastic,9271.02,313.75,Electric Box Truck,monsoon,0.36,5.42,5.96,3.71,4515.21
textile,5090.37,375.39,Compact Logistics Van,summer,0.02,3.47,2.31,1.53,2853.12
plastic,1788.88,397.12,Flatbed Carrier,winter,1.12,2.58,1.36,1.98,2489.03
textile,4964.49,564.62,Flatbed Carrier,summer,0.08,3.39,1.2,0.52,2605.09
plastic,2806.83,462.83,Compact Logistics Van,winter,1.52,4.11,1.32,2.05,2781.0
metal,5077.89,546.66,Heavy Duty Dump,summer,0.0,3.24,2.31,1.63,3104.62
paper,6021.05,552.31,Compact Logistics Van,spring,0.56,3.86,0.29,1.73,3323.19
battery,1563.31,558.79,Flatbed Carrier,summer,5.36,3.26,2.45,3.4,3281.74
plastic,3198.68,101.61,Compact Logistics Van,monsoon,0.0,5.26,5.41,2.68,2701.68
metal,9753.23,460.5,Compact Logistics Van,monsoon,2.17,6.88,6.4,4.5,5132.87
metal,7475.98,251.34,Heavy Duty Dump,summer,0.72,1.89,1.47,0.94,2869.09
battery,5254.96,100.3,Compact Logistics Van,winter,4.54,1.85,2.17,3.26,3332.82
metal,1520.5,533.99,Electric Box Truck,summer,0.48,3.04,2.46,1.85,2549.2
metal,4578.28,76.37,Compact Logistics Van,monsoon,0.72,3.76,6.08,3.09,3104.98
metal,6695.51,308.34,Flatbed Carrier,summer,0.91,2.62,2.88,1.98,3268.22
battery,1657.2,203.64,Electric Box Truck,monsoon,6.35,4.98,5.63,5.71,3911.04
plastic,4591.03,163.86,Heavy Duty Dump,spring,1.1,1.4,1.78,0.92,2239.27
textile,605.37,112.58,Heavy Duty Dump,monsoon,0.26,4.14,5.72,3.63,2678.91
textile,6590.43,232.34,Electric Box Truck,summer,0.57,2.84,2.91,1.59,2979.36
plastic,5925.62,156.39,Electric Box Truck,summer,0.38,1.78,2.79,1.68,2812.21
battery,8369.52,158.41,Flatbed Carrier,monsoon,4.68,4.69,5.35,4.43,4489.67
paper,8924.39,473.64,Heavy Duty Dump,winter,0.52,2.77,0.93,0.89,3374.66
battery,3088.62,298.46,Flatbed Carrier,summer,4.41,2.89,2.38,3.18,3143.45
textile,7934.06,464.84,Electric Box Truck,spring,0.14,4.5,0.86,1.33,3383.32
metal,4030.35,185.48,Electric Box Truck,summer,1.19,1.18,2.5,1.59,2464.36
textile,1404.81,496.26,Flatbed Carrier,summer,0.0,1.93,1.39,0.31,1790.12
battery,8409.59,177.73,Compact Logistics Van,spring,4.75,1.66,0.35,2.18,3506.85
metal,6085.66,550.44,Compact Logistics Van,monsoon,1.15,6.37,5.95,4.66,4651.28
textile,9554.1,410.44,Compact Logistics Van,winter,0.16,4.15,0.87,1.74,3795.05
paper,5011.54,426.0,Flatbed Carrier,spring,1.08,4.32,0.27,2.16,3185.57
metal,6241.08,48.69,Compact Logistics Van,summer,0.93,0.0,3.09,1.25,2545.65
metal,7540.11,154.94,Compact Logistics Van,winter,0.14,2.27,0.78,1.51,3022.83
metal,971.55,323.65,Compact Logistics Van,spring,1.13,2.21,0.61,2.09,2301.91
metal,7715.22,450.01,Flatbed Carrier,monsoon,0.0,5.19,6.27,3.25,4190.17
plastic,3548.25,368.92,Electric Box Truck,spring,0.25,1.13,1.09,0.5,2107.98
plastic,7963.88,541.66,Electric Box Truck,monsoon,0.34,8.17,5.47,4.02,4694.56
plastic,9819.83,92.05,Electric Box Truck,summer,0.0,1.65,1.94,0.9,3084.07
metal,6955.25,269.42,Flatbed Carrier,monsoon,0.93,6.46,6.23,4.16,4245.78
textile,7523.96,172.02,Flatbed Carrier,spring,0.0,2.0,0.75,1.16,2882.74
metal,459.01,250.35,Heavy Duty Dump,monsoon,0.41,5.27,5.92,4.26,3100.83
paper,2632.09,352.14,Compact Logistics Van,spring,0.24,3.63,0.91,2.0,2595.02
plastic,3675.94,316.51,Flatbed Carrier,spring,0.31,2.15,0.84,0.8,2203.26
plastic,6929.16,263.45,Compact Logistics Van,monsoon,0.25,6.14,6.87,4.14,4228.55
battery,1901.39,277.39,Compact Logistics Van,monsoon,4.6,4.0,5.8,4.2,3364.87
paper,7170.77,443.27,Electric Box Truck,spring,0.35,3.07,0.88,1.46,3281.14
battery,794.46,458.75,Electric Box Truck,summer,5.16,4.81,1.77,3.96,3277.34
plastic,835.51,305.57,Electric Box Truck,spring,0.45,4.51,0.53,2.21,2309.95
metal,800.51,391.54,Flatbed Carrier,winter,0.62,3.26,1.43,1.03,1878.16
paper,4001.62,574.8,Flatbed Carrier,spring,1.04,4.97,1.12,2.11,3158.33
battery,6195.82,136.58,Electric Box Truck,spring,5.56,1.79,1.57,3.45,3633.83
battery,6409.19,233.39,Heavy Duty Dump,winter,5.2,1.89,0.92,3.08,3619.77
plastic,5214.51,294.39,Electric Box Truck,spring,1.02,1.36,1.56,1.48,2756.46
plastic,3442.69,548.71,Electric Box Truck,monsoon,0.75,7.99,5.61,4.29,4009.39
battery,4024.74,30.51,Compact Logistics Van,summer,4.85,1.03,1.38,2.24,2570.78
plastic,3791.45,263.57,Heavy Duty Dump,monsoon,1.05,4.06,6.55,2.96,3130.12
battery,5274.46,351.81,Heavy Duty Dump,spring,5.15,3.36,0.44,3.6,3791.31
textile,4277.39,286.38,Heavy Duty Dump,monsoon,0.44,5.61,6.07,2.67,3114.44
plastic,4471.29,79.51,Heavy Duty Dump,winter,0.19,0.63,1.1,0.38,1871.23
battery,599.77,312.14,Compact Logistics Van,winter,5.17,1.72,1.46,2.69,2493.34
metal,2754.94,403.69,Flatbed Carrier,summer,0.65,1.11,2.63,1.49,2449.46
plastic,6335.9,495.36,Compact Logistics Van,spring,0.01,3.34,1.14,0.89,2933.16
paper,6546.4,494.57,Heavy Duty Dump,summer,0.12,2.98,2.49,1.55,3270.34
paper,6383.65,503.15,Heavy Duty Dump,spring,0.87,5.15,1.37,2.1,3499.91
battery,5251.46,290.09,Flatbed Carrier,monsoon,5.11,6.93,5.13,5.27,4466.1
metal,5251.4,582.41,Compact Logistics Van,monsoon,0.38,5.6,6.72,4.52,4477.33
battery,8490.27,599.39,Heavy Duty Dump,summer,5.62,5.11,1.98,3.84,4777.25
plastic,3944.71,147.28,Heavy Duty Dump,monsoon,1.31,5.36,6.35,3.63,3318.14
plastic,592.74,566.53,Flatbed Carrier,summer,1.54,5.77,1.53,3.3,3070.0
paper,2544.13,495.96,Electric Box Truck,winter,0.0,4.34,0.65,1.81,2667.42
plastic,4036.4,131.79,Electric Box Truck,winter,0.58,0.88,1.2,1.36,2298.52
metal,9182.61,570.63,Compact Logistics Van,spring,0.95,3.46,1.82,2.03,4051.91
textile,2865.69,360.31,Compact Logistics Van,winter,0.0,1.8,1.83,1.25,2312.85
metal,1218.38,158.38,Compact Logistics Van,monsoon,0.06,4.37,5.86,3.51,2787.2
battery,8877.41,258.6,Electric Box Truck,spring,4.85,3.12,0.55,3.37,4226.17
battery,2501.97,416.23,Compact Logistics Van,summer,4.4,2.32,0.98,2.79,3003.95
metal,562.88,225.82,Heavy Duty Dump,spring,0.48,2.8,0.95,0.52,1404.12
battery,5935.78,436.74,Heavy Duty Dump,summer,5.88,3.16,1.68,4.45,4397.15
metal,9253.78,382.88,Compact Logistics Van,summer,0.33,3.11,2.35,1.78,3727.07
battery,1625.56,187.34,Heavy Duty Dump,monsoon,5.32,5.42,7.06,5.58,3829.04
paper,4567.86,188.15,Flatbed Carrier,monsoon,0.7,4.08,5.77,2.67,3048.39
plastic,2271.36,17.42,Flatbed Carrier,winter,0.51,1.13,0.97,0.89,1628.4
battery,4066.33,440.97,Heavy Duty Dump,summer,5.08,3.21,3.11,3.12,3465.16
plastic,7840.11,190.58,Flatbed Carrier,winter,0.13,0.68,1.23,0.69,2749.97
textile,5730.56,51.57,Compact Logistics Van,summer,1.03,2.38,1.47,1.38,2515.6
textile,1301.97,570.51,Flatbed Carrier,spring,0.09,4.65,0.0,1.54,2411.56
textile,5242.18,362.1,Flatbed Carrier,winter,1.1,2.56,0.25,1.2,2717.62
metal,2809.5,481.07,Flatbed Carrier,winter,0.33,1.24,3.21,1.52,2569.22
metal,8339.56,126.54,Compact Logistics Van,monsoon,0.66,4.74,5.61,3.58,4063.29
paper,652.61,306.47,Heavy Duty Dump,winter,0.38,1.76,0.9,0.78,1637.72
textile,2617.23,370.4,Flatbed Carrier,winter,1.33,3.18,1.83,0.97,2150.8
textile,8627.03,596.36,Compact Logistics Van,monsoon,0.05,7.09,5.79,4.32,5014.11
plastic,4731.39,510.0,Flatbed Carrier,spring,0.66,3.35,1.76,1.5,2937.81
metal,3227.93,213.72,Heavy Duty Dump,winter,0.96,1.6,1.86,1.56,2340.87
textile,3966.21,219.85,Compact Logistics Van,summer,0.34,2.9,2.01,1.05,2250.23
paper,462.94,409.95,Heavy Duty Dump,monsoon,0.58,6.65,5.78,3.91,3136.2
paper,6805.98,35.98,Electric Box Truck,winter,0.55,0.38,0.62,1.07,2550.16
metal,8559.88,392.45,Electric Box Truck,summer,0.84,3.45,1.52,2.17,3788.12
plastic,3293.9,551.32,Compact Logistics Van,spring,0.91,3.88,1.44,1.59,2769.2
plastic,2372.35,568.7,Compact Logistics Van,summer,0.6,4.79,1.86,1.42,2550.29
paper,5594.65,338.75,Flatbed Carrier,monsoon,0.29,6.15,6.75,4.07,4045.89
paper,1220.71,147.37,Electric Box Truck,spring,0.0,0.86,1.55,1.42,1833.82
textile,6312.84,462.19,Electric Box Truck,summer,0.25,3.49,1.75,0.79,2845.91
battery,4881.95,567.73,Compact Logistics Van,spring,5.49,5.24,0.73,3.74,4043.09
textile,8404.11,100.75,Compact Logistics Van,winter,1.08,2.12,1.38,1.95,3312.53
plastic,1366.06,393.24,Heavy Duty Dump,spring,0.77,3.14,0.74,1.13,2026.3
metal,6558.63,415.8,Heavy Duty Dump,monsoon,0.9,5.55,5.52,3.89,4229.04
plastic,6624.81,589.5,Heavy Duty Dump,spring,0.0,3.47,1.01,1.17,3225.36
paper,2761.55,384.42,Electric Box Truck,monsoon,0.34,5.87,5.41,3.61,3384.26
textile,4083.78,358.65,Heavy Duty Dump,monsoon,0.0,5.82,5.5,3.35,3472.22
paper,7918.92,123.89,Compact Logistics Van,summer,0.02,3.01,1.4,1.68,3129.0
textile,8987.44,258.78,Flatbed Carrier,summer,0.46,1.9,2.58,1.67,3479.41
plastic,757.08,172.58,Compact Logistics Van,winter,1.28,1.21,1.87,1.13,1653.26
metal,5608.79,158.52,Electric Box Truck,monsoon,0.53,3.25,7.02,3.27,3472.67
textile,5036.65,444.64,Flatbed Carrier,monsoon,1.24,6.47,5.59,3.73,3917.24
plastic,9450.69,297.31,Flatbed Carrier,summer,0.63,3.47,1.96,1.61,3584.21
metal,4305.89,225.11,Heavy Duty Dump,summer,0.47,1.76,1.42,0.99,2289.19
metal,2269.9,431.02,Electric Box Truck,monsoon,0.9,6.7,6.21,4.28,3652.75
battery,4263.85,525.9,Electric Box Truck,summer,5.26,4.83,1.97,4.04,4017.36
metal,1351.86,504.54,Heavy Duty Dump,spring,1.32,4.38,0.0,2.13,2607.07
metal,5850.87,495.74,Flatbed Carrier,monsoon,0.21,6.26,6.46,3.76,4139.36
metal,1992.35,67.43,Electric Box Truck,spring,0.06,0.68,1.41,0.31,1381.19
battery,3405.67,190.03,Compact Logistics Van,spring,4.27,2.65,0.44,3.15,3058.78
plastic,9045.98,151.86,Heavy Duty Dump,winter,0.65,3.44,0.79,1.23,3163.0
paper,544.97,151.25,Electric Box Truck,winter,0.0,2.61,0.0,0.53,1318.79
textile,2438.17,253.21,Heavy Duty Dump,monsoon,0.25,5.68,5.58,3.53,3129.52
paper,6589.92,129.34,Flatbed Carrier,monsoon,0.0,5.84,6.26,3.54,3735.23
paper,3432.56,149.22,Heavy Duty Dump,winter,0.8,1.62,0.24,0.69,1907.0
metal,514.56,578.99,Heavy Duty Dump,summer,0.82,2.79,1.83,2.2,2579.56
paper,1931.62,46.24,Compact Logistics Van,summer,1.3,1.26,2.91,1.77,1999.96
plastic,826.84,103.73,Compact Logistics Van,winter,0.22,1.85,1.26,1.26,1638.86
battery,5920.93,456.85,Flatbed Carrier,spring,4.02,3.52,0.93,3.28,3891.55
textile,7333.49,160.86,Compact Logistics Van,winter,0.79,0.0,1.09,0.29,2444.07
metal,9893.49,591.92,Electric Box Truck,summer,0.99,5.18,1.42,2.14,4252.86
plastic,1753.63,284.83,Flatbed Carrier,spring,0.0,1.04,1.38,0.72,1782.89
battery,2197.71,443.17,Flatbed Carrier,winter,3.85,1.16,0.94,1.98,2620.55
metal,7600.24,279.43,Heavy Duty Dump,winter,0.72,1.34,2.48,1.88,3349.15
metal,3590.99,444.81,Flatbed Carrier,spring,0.85,3.33,0.42,1.92,2844.67
paper,3362.22,144.52,Heavy Duty Dump,spring,0.01,1.37,0.91,1.27,2148.56
battery,4608.67,70.81,Flatbed Carrier,winter,5.23,0.92,0.68,2.67,2917.8
textile,7034.17,311.56,Heavy Duty Dump,summer,0.4,3.32,2.23,2.02,3349.63
paper,8160.85,208.32,Heavy Duty Dump,summer,1.69,2.73,2.95,1.88,3365.76
metal,2421.14,323.34,Flatbed Carrier,winter,1.96,2.36,1.59,2.27,2644.79
battery,7556.52,486.55,Electric Box Truck,summer,5.2,4.93,2.36,4.3,4676.9
paper,6567.88,286.41,Electric Box Truck,monsoon,0.59,7.88,5.97,4.36,4285.67
textile,1019.09,583.51,Flatbed Carrier,winter,0.64,2.34,0.22,0.96,2113.82
plastic,2851.13,82.06,Flatbed Carrier,spring,0.35,1.06,1.86,0.91,1820.29
plastic,910.64,154.02,Electric Box Truck,spring,0.29,1.97,0.25,0.4,1330.48
textile,5180.88,102.96,Compact Logistics Van,winter,1.8,2.34,1.58,1.81,2671.9
plastic,4317.38,374.72,Electric Box Truck,summer,0.49,2.17,2.84,1.74,2809.79
metal,879.85,195.12,Flatbed Carrier,summer,0.39,2.65,2.68,1.38,1815.52
paper,7690.97,477.63,Electric Box Truck,spring,1.04,4.3,1.37,1.98,3648.64
metal,869.54,266.71,Compact Logistics Van,summer,0.38,2.17,1.85,1.21,1819.76
metal,2013.56,586.75,Compact Logistics Van,monsoon,0.97,6.23,6.92,4.73,3993.17
metal,7843.78,500.03,Flatbed Carrier,monsoon,0.1,6.82,7.46,4.42,4799.9
paper,1040.51,563.6,Compact Logistics Van,monsoon,0.0,7.39,6.5,4.01,3469.52
metal,8836.18,261.39,Compact Logistics Van,monsoon,0.62,4.9,5.16,3.24,4163.2
paper,2895.22,398.42,Flatbed Carrier,winter,0.46,2.97,0.51,1.27,2368.96
paper,7615.94,547.95,Electric Box Truck,summer,0.22,2.59,1.78,1.44,3478.52
paper,1613.11,20.83,Compact Logistics Van,spring,0.01,0.92,0.0,0.0,1115.35
textile,1798.06,472.71,Heavy Duty Dump,spring,0.84,3.5,1.35,1.9,2545.49
textile,3071.23,244.53,Compact Logistics Van,spring,0.0,0.91,1.36,0.86,2034.44
plastic,2002.07,313.96,Heavy Duty Dump,winter,0.0,2.11,0.87,0.4,1716.54
paper,2026.18,487.54,Flatbed Carrier,spring,0.0,3.87,1.19,1.7,2515.87
battery,5936.57,86.1,Electric Box Truck,monsoon,6.08,4.85,7.16,6.78,5023.06
textile,2441.81,480.97,Heavy Duty Dump,monsoon,1.45,4.94,5.2,3.93,3583.26
textile,2277.3,197.24,Electric Box Truck,summer,0.54,0.77,2.53,1.34,2049.03
plastic,3243.54,249.42,Heavy Duty Dump,monsoon,0.89,4.98,5.9,3.17,3111.59
battery,9731.92,385.96,Heavy Duty Dump,summer,4.19,3.81,2.3,4.29,4944.28
paper,1689.75,470.32,Flatbed Carrier,spring,0.1,3.95,1.15,2.05,2593.23
paper,9697.58,324.08,Heavy Duty Dump,winter,0.93,1.94,0.0,1.63,3665.83
textile,1960.15,186.89,Heavy Duty Dump,spring,0.88,1.21,0.65,0.96,1807.33
plastic,9980.22,428.15,Electric Box Truck,summer,0.02,3.25,2.64,1.38,3730.86
paper,4102.65,65.76,Flatbed Carrier,winter,1.26,1.73,1.04,1.44,2265.64
battery,6100.42,482.81,Flatbed Carrier,spring,4.78,3.05,0.86,3.22,3928.07
metal,5933.0,133.91,Electric Box Truck,spring,0.7,1.9,1.31,1.88,2873.44
metal,5820.46,201.97,Compact Logistics Van,spring,1.44,2.09,1.61,1.61,2815.82
plastic,5945.85,30.03,Heavy Duty Dump,summer,0.43,1.39,2.37,2.4,2984.06
textile,9496.35,375.31,Compact Logistics Van,spring,1.24,2.26,1.41,1.45,3612.11
plastic,1893.21,131.6,Compact Logistics Van,monsoon,0.57,3.53,6.46,2.74,2531.63
plastic,9475.11,272.9,Electric Box Truck,monsoon,0.91,5.48,6.26,3.17,4258.73
textile,3570.03,145.71,Electric Box Truck,monsoon,0.0,4.49,6.55,3.41,3153.34
paper,9800.39,245.54,Electric Box Truck,winter,0.02,2.06,1.02,0.37,3025.51
plastic,1236.61,592.73,Electric Box Truck,spring,0.46,2.94,0.78,1.67,2484.39
textile,6777.86,228.94,Flatbed Carrier,winter,0.09,2.21,1.87,0.99,2740.54
plastic,3328.44,195.98,Electric Box Truck,summer,0.17,2.31,2.12,1.52,2319.28
paper,8099.59,214.14,Compact Logistics Van,winter,0.37,2.76,0.41,1.01,2969.22
