plant,workers,shift,attendance_rate,overtime_hours,downtime_hours,productivity
Coimbatore Sorting Hub,90,Night,0.95,7.6,1.5,75.2
Chennai Extrusion Center,21,Morning,0.99,4.5,2.5,70.3
Tiruppur Weaving Plant,16,Morning,0.99,6.0,0.1,91.3
Tiruppur Weaving Plant,116,Morning,0.83,9.9,2.7,62.4
Salem Compressed Scrap,71,Night,0.84,2.9,3.6,54.0
Salem Compressed Scrap,76,Night,0.82,0.1,3.2,47.6
Chennai Extrusion Center,90,Morning,0.86,4.0,0.1,79.0
Chennai Extrusion Center,100,Afternoon,0.9,4.9,3.1,64.2
Tiruppur Weaving Plant,75,Morning,0.85,7.3,2.6,64.6
Coimbatore Sorting Hub,93,Afternoon,1.0,6.0,1.3,75.4
Tiruppur Weaving Plant,60,Morning,0.92,5.1,1.6,79.5
Salem Compressed Scrap,53,Morning,0.89,8.4,0.2,74.2
Chennai Extrusion Center,41,Afternoon,0.92,8.9,0.8,75.6
Coimbatore Sorting Hub,72,Morning,0.99,1.5,3.9,69.1
Chennai Extrusion Center,108,Night,0.92,6.2,3.9,62.9
Coimbatore Sorting Hub,48,Night,0.94,2.2,1.2,75.1
Tiruppur Weaving Plant,61,Afternoon,0.74,3.0,1.2,56.8
Salem Compressed Scrap,56,Night,0.72,8.7,2.3,48.5
Coimbatore Sorting Hub,55,Morning,0.93,8.0,3.8,60.9
Tiruppur Weaving Plant,57,Night,0.78,3.0,0.9,69.9
Salem Compressed Scrap,108,Morning,0.72,8.9,3.7,51.8
Chennai Extrusion Center,136,Night,0.77,0.8,2.8,52.7
Tiruppur Weaving Plant,95,Afternoon,0.79,0.6,0.9,59.1
Chennai Extrusion Center,11,Afternoon,0.79,0.9,0.9,59.1
Chennai Extrusion Center,39,Morning,0.72,6.9,2.2,60.7
Chennai Extrusion Center,70,Night,0.87,6.9,1.0,62.7
Coimbatore Sorting Hub,147,Night,0.95,8.2,2.6,75.9
Salem Compressed Scrap,109,Night,0.79,2.1,1.4,64.4
Tiruppur Weaving Plant,55,Morning,0.83,7.7,2.5,56.8
Salem Compressed Scrap,139,Afternoon,0.74,8.1,0.6,55.2
Coimbatore Sorting Hub,143,Night,0.85,5.1,3.0,53.1
Coimbatore Sorting Hub,29,Night,0.93,3.9,0.5,72.9
Chennai Extrusion Center,38,Night,0.88,5.0,2.5,62.3
Chennai Extrusion Center,21,Night,0.96,5.8,2.9,65.2
Coimbatore Sorting Hub,38,Night,0.79,6.9,3.3,58.1
Coimbatore Sorting Hub,40,Night,0.95,3.2,1.2,75.1
Chennai Extrusion Center,30,Morning,0.88,5.9,1.2,70.1
Salem Compressed Scrap,115,Morning,0.75,9.5,3.3,47.5
Coimbatore Sorting Hub,32,Afternoon,0.77,6.7,3.2,49.8
Coimbatore Sorting Hub,148,Night,0.74,4.2,0.4,68.7
Chennai Extrusion Center,103,Morning,0.91,0.7,1.5,67.7
Chennai Extrusion Center,64,Morning,0.89,6.8,1.5,64.0
Tiruppur Weaving Plant,89,Morning,0.97,3.4,0.5,72.6
Coimbatore Sorting Hub,96,Morning,0.95,2.1,4.0,68.7
Tiruppur Weaving Plant,132,Morning,0.88,6.6,2.3,65.2
Chennai Extrusion Center,87,Night,0.73,7.2,0.7,59.1
Coimbatore Sorting Hub,54,Night,0.96,1.2,1.4,71.9
Chennai Extrusion Center,74,Afternoon,0.77,7.1,2.9,50.7
Tiruppur Weaving Plant,114,Night,0.84,4.3,2.8,63.9
Tiruppur Weaving Plant,68,Night,0.73,2.9,0.2,65.9
Chennai Extrusion Center,75,Morning,0.91,4.8,1.0,71.6
Salem Compressed Scrap,112,Night,0.92,9.0,2.5,67.9
Chennai Extrusion Center,104,Night,0.91,9.1,3.5,62.6
Coimbatore Sorting Hub,63,Morning,0.88,1.9,2.6,70.1
Tiruppur Weaving Plant,63,Afternoon,0.83,9.5,2.8,52.6
Tiruppur Weaving Plant,67,Morning,1.0,5.3,1.2,70.5
Coimbatore Sorting Hub,22,Night,0.95,0.7,1.8,66.2
Tiruppur Weaving Plant,61,Night,0.84,1.3,0.1,68.5
Tiruppur Weaving Plant,139,Morning,0.88,9.0,0.8,79.7
Coimbatore Sorting Hub,92,Morning,0.97,4.3,1.5,75.2
Chennai Extrusion Center,126,Afternoon,0.93,6.6,0.9,77.2
Coimbatore Sorting Hub,128,Night,0.88,4.5,1.3,72.6
Tiruppur Weaving Plant,149,Night,0.88,7.8,0.0,71.8
Salem Compressed Scrap,66,Afternoon,0.93,2.6,0.8,82.2
Coimbatore Sorting Hub,58,Afternoon,0.8,7.2,2.8,53.2
Salem Compressed Scrap,30,Morning,0.74,1.3,1.3,47.6
Tiruppur Weaving Plant,77,Afternoon,0.71,6.5,0.3,61.7
Tiruppur Weaving Plant,35,Afternoon,0.96,1.9,4.0,58.7
Coimbatore Sorting Hub,68,Afternoon,0.82,1.9,2.0,51.5
Salem Compressed Scrap,127,Morning,0.95,5.1,1.1,74.7
Coimbatore Sorting Hub,122,Morning,0.95,3.8,1.1,81.9
Chennai Extrusion Center,83,Afternoon,0.92,5.2,0.0,81.0
Tiruppur Weaving Plant,51,Afternoon,0.82,7.8,2.6,64.2
Coimbatore Sorting Hub,34,Afternoon,0.75,8.5,0.5,65.3
Salem Compressed Scrap,96,Morning,0.88,8.9,0.5,64.6
Chennai Extrusion Center,87,Night,0.84,7.7,3.0,51.7
Tiruppur Weaving Plant,46,Afternoon,0.88,9.1,2.2,58.9
Salem Compressed Scrap,112,Night,0.8,5.6,1.1,69.7
Salem Compressed Scrap,60,Afternoon,0.77,9.0,1.2,55.0
Chennai Extrusion Center,82,Night,0.76,5.6,3.8,51.2
Coimbatore Sorting Hub,130,Morning,0.71,7.8,2.2,44.2
Tiruppur Weaving Plant,67,Morning,0.96,1.2,3.7,63.7
Salem Compressed Scrap,119,Night,0.72,4.3,0.5,65.0
Coimbatore Sorting Hub,38,Morning,0.97,4.5,0.9,84.9
Chennai Extrusion Center,148,Night,1.0,4.3,3.6,70.3
Salem Compressed Scrap,108,Afternoon,0.92,2.3,0.6,65.6
Chennai Extrusion Center,123,Afternoon,0.98,3.4,4.0,64.9
Coimbatore Sorting Hub,36,Morning,0.94,9.7,2.4,69.4
Chennai Extrusion Center,130,Morning,0.82,4.7,2.5,59.3
Salem Compressed Scrap,136,Afternoon,0.84,9.6,3.3,61.8
Salem Compressed Scrap,128,Morning,0.75,0.8,3.3,49.2
Coimbatore Sorting Hub,82,Afternoon,0.83,0.9,3.8,53.0
Coimbatore Sorting Hub,36,Morning,0.89,7.0,2.0,69.5
Chennai Extrusion Center,59,Night,0.88,1.1,2.2,63.6
Chennai Extrusion Center,65,Night,0.89,0.2,1.4,66.8
Chennai Extrusion Center,120,Afternoon,0.75,8.6,3.7,45.6
Tiruppur Weaving Plant,22,Night,0.79,3.1,3.5,56.0
Coimbatore Sorting Hub,77,Night,0.85,0.6,0.6,70.3
Salem Compressed Scrap,77,Afternoon,0.92,1.9,1.1,79.8
Coimbatore Sorting Hub,67,Morning,0.92,5.8,3.8,74.5
Coimbatore Sorting Hub,93,Afternoon,0.95,6.4,2.6,70.6
Salem Compressed Scrap,112,Night,0.88,9.1,1.8,64.8
Coimbatore Sorting Hub,19,Night,0.86,4.0,3.4,56.6
Tiruppur Weaving Plant,31,Morning,0.83,7.5,1.8,57.7
Tiruppur Weaving Plant,92,Night,0.81,0.7,2.3,54.3
Salem Compressed Scrap,51,Morning,0.71,0.5,3.1,46.4
Chennai Extrusion Center,134,Afternoon,0.87,3.7,3.1,52.7
Salem Compressed Scrap,88,Night,0.94,9.7,2.5,76.6
Tiruppur Weaving Plant,86,Afternoon,0.99,3.2,2.3,77.4
Salem Compressed Scrap,117,Morning,0.85,4.4,1.2,65.9
Salem Compressed Scrap,86,Afternoon,0.89,1.2,0.4,77.5
Coimbatore Sorting Hub,18,Night,0.88,1.0,0.0,85.1
Chennai Extrusion Center,96,Afternoon,0.71,3.1,2.4,50.7
Chennai Extrusion Center,58,Morning,0.99,0.6,3.0,70.9
Chennai Extrusion Center,142,Morning,0.73,0.5,3.6,47.6
Coimbatore Sorting Hub,57,Night,0.75,0.7,3.2,55.6
Chennai Extrusion Center,51,Morning,0.92,2.5,2.4,73.0
Salem Compressed Scrap,96,Afternoon,0.94,7.0,0.1,82.5
Coimbatore Sorting Hub,68,Afternoon,0.71,5.8,3.4,43.3
Tiruppur Weaving Plant,146,Morning,0.92,5.8,0.9,74.9
Salem Compressed Scrap,36,Afternoon,0.77,8.6,1.9,67.6
Tiruppur Weaving Plant,91,Night,0.99,9.5,3.3,72.8
Coimbatore Sorting Hub,68,Afternoon,0.73,2.7,0.0,62.2
Chennai Extrusion Center,132,Night,0.94,0.7,1.0,69.9
Chennai Extrusion Center,145,Night,0.88,7.7,0.5,77.1
Tiruppur Weaving Plant,12,Morning,0.86,7.9,1.1,77.0
Tiruppur Weaving Plant,12,Night,0.98,2.7,3.7,69.0
Coimbatore Sorting Hub,49,Afternoon,0.84,1.9,0.8,72.1
Tiruppur Weaving Plant,105,Morning,0.88,4.5,0.6,64.9
Coimbatore Sorting Hub,52,Night,0.88,0.5,1.6,68.0
Coimbatore Sorting Hub,111,Night,0.89,9.0,3.6,60.2
Coimbatore Sorting Hub,114,Afternoon,0.73,3.0,3.2,43.6
Salem Compressed Scrap,69,Morning,0.82,7.4,2.2,62.8
Salem Compressed Scrap,25,Night,0.9,7.1,2.5,71.0
Chennai Extrusion Center,39,Afternoon,0.82,7.0,2.3,61.6
Tiruppur Weaving Plant,142,Morning,0.96,8.4,0.7,78.4
Tiruppur Weaving Plant,19,Afternoon,0.92,8.1,2.0,75.0
Chennai Extrusion Center,124,Morning,0.81,8.6,3.8,52.4
Tiruppur Weaving Plant,129,Afternoon,0.85,5.8,3.4,58.2
Salem Compressed Scrap,130,Afternoon,0.77,9.7,2.5,59.4
Salem Compressed Scrap,102,Night,0.8,2.5,2.8,68.0
Coimbatore Sorting Hub,137,Night,0.9,3.1,1.0,71.5
Salem Compressed Scrap,106,Night,0.85,9.6,3.4,64.4
Coimbatore Sorting Hub,103,Afternoon,0.79,7.1,2.8,53.2
Tiruppur Weaving Plant,71,Night,0.96,3.8,2.8,62.9
Salem Compressed Scrap,88,Morning,0.75,7.6,1.5,63.8
Tiruppur Weaving Plant,146,Morning,0.9,2.9,3.2,70.5
Tiruppur Weaving Plant,125,Night,0.93,6.5,1.2,70.9
Chennai Extrusion Center,53,Night,0.93,9.2,3.7,61.2
Coimbatore Sorting Hub,37,Night,0.79,7.0,3.4,65.4
Chennai Extrusion Center,72,Morning,0.99,9.8,0.9,83.3
Salem Compressed Scrap,28,Afternoon,0.89,9.0,1.3,71.0
Coimbatore Sorting Hub,30,Morning,0.71,5.0,0.2,65.7
Chennai Extrusion Center,149,Night,0.87,9.9,3.0,61.5
Coimbatore Sorting Hub,95,Night,0.82,6.2,3.6,51.4
Salem Compressed Scrap,104,Morning,0.85,1.3,2.3,64.1
Tiruppur Weaving Plant,102,Night,0.81,4.6,1.4,63.2
Tiruppur Weaving Plant,50,Afternoon,0.77,2.5,3.3,44.9
Coimbatore Sorting Hub,118,Night,0.85,9.1,1.0,71.5
Salem Compressed Scrap,98,Night,0.87,7.1,3.5,71.0
Chennai Extrusion Center,79,Night,0.82,9.3,1.5,64.7
Chennai Extrusion Center,122,Morning,0.94,0.4,2.3,66.1
Tiruppur Weaving Plant,26,Morning,0.74,5.6,3.9,52.3
Chennai Extrusion Center,128,Night,0.89,1.1,1.0,66.8
Tiruppur Weaving Plant,95,Morning,0.97,1.9,2.9,72.4
Coimbatore Sorting Hub,127,Afternoon,0.88,9.8,2.3,63.8
Tiruppur Weaving Plant,127,Morning,0.75,7.0,3.0,58.4
Salem Compressed Scrap,33,Afternoon,0.83,5.1,2.4,59.3
Coimbatore Sorting Hub,19,Morning,0.84,9.6,2.7,61.9
Salem Compressed Scrap,81,Night,0.99,3.7,3.8,68.6
Tiruppur Weaving Plant,80,Afternoon,0.96,7.8,3.4,70.5
Salem Compressed Scrap,70,Night,0.89,4.3,2.3,58.2
Tiruppur Weaving Plant,54,Afternoon,0.74,7.8,4.0,48.4
Tiruppur Weaving Plant,41,Night,0.92,7.2,2.5,71.5
Coimbatore Sorting Hub,127,Night,0.76,2.4,3.6,43.7
Tiruppur Weaving Plant,115,Morning,0.82,9.3,0.2,72.4
Coimbatore Sorting Hub,103,Night,0.99,1.8,2.1,74.0
Salem Compressed Scrap,91,Morning,0.99,0.4,2.2,70.7
Chennai Extrusion Center,78,Morning,0.75,2.8,3.1,50.1
Salem Compressed Scrap,78,Afternoon,0.99,5.9,1.2,80.3
Chennai Extrusion Center,89,Afternoon,0.99,0.7,1.1,80.9
Chennai Extrusion Center,12,Morning,0.77,3.4,1.1,59.8
Tiruppur Weaving Plant,20,Afternoon,0.86,9.7,1.2,75.2
Tiruppur Weaving Plant,97,Afternoon,0.7,5.2,0.6,53.8
Chennai Extrusion Center,12,Afternoon,0.76,8.3,0.7,66.4
Chennai Extrusion Center,87,Morning,0.76,2.7,1.8,59.4
Salem Compressed Scrap,138,Night,0.81,1.6,1.0,68.0
Coimbatore Sorting Hub,83,Morning,0.97,0.9,0.6,75.6
Coimbatore Sorting Hub,132,Afternoon,0.73,7.3,3.0,47.9
Chennai Extrusion Center,20,Afternoon,0.78,3.5,3.6,62.9
Salem Compressed Scrap,68,Afternoon,0.84,5.6,3.5,48.7
Chennai Extrusion Center,118,Afternoon,0.86,6.7,1.8,69.0
Chennai Extrusion Center,90,Afternoon,0.9,3.2,1.7,66.8
Coimbatore Sorting Hub,103,Morning,0.8,2.2,2.7,55.5
Salem Compressed Scrap,17,Afternoon,0.93,5.7,3.6,58.8
Tiruppur Weaving Plant,61,Morning,0.78,6.5,1.3,58.2
Coimbatore Sorting Hub,78,Afternoon,0.97,9.0,2.1,66.3
Salem Compressed Scrap,146,Night,0.73,6.7,1.6,59.7
Coimbatore Sorting Hub,45,Morning,0.94,1.4,1.2,71.5
Tiruppur Weaving Plant,120,Afternoon,0.94,5.3,1.4,73.7
Tiruppur Weaving Plant,21,Afternoon,0.81,9.8,0.4,70.1
Chennai Extrusion Center,130,Night,0.74,1.6,0.2,63.1
Chennai Extrusion Center,130,Morning,0.7,9.7,2.4,56.2
Salem Compressed Scrap,25,Night,0.87,5.6,0.5,80.4
Coimbatore Sorting Hub,145,Afternoon,0.71,2.0,1.9,55.5
Chennai Extrusion Center,114,Morning,0.78,4.9,0.9,49.1
Chennai Extrusion Center,42,Morning,0.72,6.9,2.0,58.8
Salem Compressed Scrap,48,Night,1.0,4.6,0.4,85.6
Coimbatore Sorting Hub,86,Afternoon,0.71,2.3,2.6,49.6
Chennai Extrusion Center,34,Morning,0.82,2.7,3.3,50.9
Salem Compressed Scrap,39,Afternoon,0.83,2.7,3.4,60.4
Tiruppur Weaving Plant,104,Night,0.99,0.4,3.7,68.4
Salem Compressed Scrap,41,Night,0.72,9.5,0.8,60.3
Coimbatore Sorting Hub,141,Night,0.82,7.6,3.2,47.5
Chennai Extrusion Center,36,Morning,0.89,4.5,3.5,67.5
Tiruppur Weaving Plant,68,Night,0.75,1.3,0.7,55.6
Tiruppur Weaving Plant,138,Night,0.87,3.8,1.6,63.2
Tiruppur Weaving Plant,124,Morning,0.87,4.8,1.0,70.3
Coimbatore Sorting Hub,137,Morning,0.95,7.3,1.6,68.2
Salem Compressed Scrap,87,Night,0.78,0.9,0.8,64.1
Chennai Extrusion Center,92,Afternoon,0.75,5.5,3.6,48.8
Salem Compressed Scrap,46,Morning,0.8,0.4,3.6,50.6
Chennai Extrusion Center,46,Morning,0.74,9.1,2.4,58.4
Salem Compressed Scrap,83,Afternoon,0.76,6.6,1.8,58.1
Coimbatore Sorting Hub,51,Afternoon,0.71,0.3,1.3,50.0
Coimbatore Sorting Hub,37,Afternoon,0.98,8.0,2.2,80.3
Coimbatore Sorting Hub,104,Afternoon,0.91,8.4,3.8,64.4
Coimbatore Sorting Hub,48,Afternoon,0.73,5.5,0.6,73.5
Salem Compressed Scrap,133,Afternoon,0.93,2.8,3.4,63.7
Coimbatore Sorting Hub,137,Night,0.78,8.4,0.8,65.0
Coimbatore Sorting Hub,37,Afternoon,0.87,2.8,1.6,59.2
Tiruppur Weaving Plant,47,Morning,0.76,8.1,1.5,61.0
Tiruppur Weaving Plant,22,Night,0.71,7.5,3.8,40.8
Salem Compressed Scrap,81,Morning,0.7,5.8,3.5,38.9
Chennai Extrusion Center,36,Morning,0.86,5.6,3.6,51.8
Coimbatore Sorting Hub,44,Morning,0.85,9.0,2.5,60.6
Tiruppur Weaving Plant,67,Night,0.92,9.0,3.7,58.0
Chennai Extrusion Center,131,Morning,0.84,3.5,2.5,60.3
Chennai Extrusion Center,112,Afternoon,0.7,3.1,2.0,43.3
Tiruppur Weaving Plant,34,Morning,0.96,5.2,3.5,61.4
Chennai Extrusion Center,67,Morning,0.79,1.0,1.9,58.0
Tiruppur Weaving Plant,52,Afternoon,0.77,9.4,0.2,71.8
Coimbatore Sorting Hub,88,Night,0.74,6.2,2.4,50.2
Coimbatore Sorting Hub,108,Night,0.81,6.7,2.1,57.5
Salem Compressed Scrap,103,Night,0.98,5.4,3.7,62.5
Chennai Extrusion Center,81,Night,0.82,6.8,1.6,69.3
Tiruppur Weaving Plant,74,Morning,0.95,7.3,0.9,72.8
Chennai Extrusion Center,86,Afternoon,0.87,1.3,0.7,67.0
Salem Compressed Scrap,100,Afternoon,0.94,1.9,2.9,66.3
Tiruppur Weaving Plant,149,Afternoon,0.8,1.2,2.0,58.6
Chennai Extrusion Center,66,Night,0.78,4.9,3.8,45.9
Coimbatore Sorting Hub,146,Morning,0.84,5.8,0.9,66.2
Tiruppur Weaving Plant,10,Night,0.8,9.7,3.7,57.1
Coimbatore Sorting Hub,115,Night,0.78,6.3,0.3,62.7
Coimbatore Sorting Hub,102,Morning,0.8,4.9,3.8,50.1
Salem Compressed Scrap,25,Night,0.84,7.7,3.1,61.0
Coimbatore Sorting Hub,144,Night,0.78,4.5,3.1,54.8
Coimbatore Sorting Hub,96,Afternoon,0.92,0.4,3.2,64.8
Coimbatore Sorting Hub,133,Afternoon,0.73,10.0,3.0,50.0
Salem Compressed Scrap,133,Morning,0.77,7.8,3.9,49.6
Chennai Extrusion Center,134,Morning,0.89,1.6,1.4,60.8
Salem Compressed Scrap,109,Morning,0.78,5.8,2.8,55.9
Tiruppur Weaving Plant,97,Night,0.74,6.2,1.2,49.3
Salem Compressed Scrap,91,Morning,0.97,6.4,1.3,74.2
Coimbatore Sorting Hub,127,Morning,0.9,9.7,2.8,61.8
Tiruppur Weaving Plant,70,Afternoon,0.82,0.4,0.9,60.4
Tiruppur Weaving Plant,137,Morning,0.78,8.2,0.8,71.3
Salem Compressed Scrap,68,Night,0.71,1.2,1.0,49.4
Chennai Extrusion Center,65,Morning,0.89,2.9,0.6,74.8
Chennai Extrusion Center,20,Night,0.92,7.9,0.7,80.9
Tiruppur Weaving Plant,136,Afternoon,0.85,0.7,0.9,62.7
Tiruppur Weaving Plant,65,Morning,0.91,0.3,0.3,63.0
Coimbatore Sorting Hub,38,Night,0.86,6.4,3.8,55.9
Chennai Extrusion Center,124,Afternoon,0.88,9.4,1.7,74.8
Chennai Extrusion Center,58,Night,0.88,6.8,0.7,79.5
Chennai Extrusion Center,76,Afternoon,0.79,6.8,3.6,47.7
Tiruppur Weaving Plant,23,Morning,0.72,3.8,0.7,65.8
Salem Compressed Scrap,63,Night,0.84,6.7,1.5,70.0
Salem Compressed Scrap,122,Night,0.93,8.0,3.2,60.4
Tiruppur Weaving Plant,65,Night,0.92,8.2,3.1,64.5
Tiruppur Weaving Plant,44,Night,0.87,7.0,0.2,80.7
Tiruppur Weaving Plant,141,Afternoon,0.83,6.5,1.9,61.8
Chennai Extrusion Center,139,Afternoon,0.91,7.6,2.3,69.6
Chennai Extrusion Center,31,Morning,0.99,8.9,2.1,72.7
Salem Compressed Scrap,143,Morning,0.75,7.7,1.6,60.5
Salem Compressed Scrap,88,Night,0.9,0.3,1.7,56.9
Coimbatore Sorting Hub,118,Night,0.76,5.3,3.0,52.4
Salem Compressed Scrap,13,Night,0.98,9.0,0.0,86.7
Coimbatore Sorting Hub,65,Morning,0.71,0.6,1.4,47.0
Coimbatore Sorting Hub,139,Morning,0.83,7.6,1.1,76.6
Chennai Extrusion Center,78,Night,0.82,9.0,0.0,69.4
Coimbatore Sorting Hub,79,Night,0.99,2.3,3.3,67.3
Salem Compressed Scrap,16,Night,1.0,7.6,2.7,80.4
Coimbatore Sorting Hub,102,Night,0.71,5.6,3.7,33.0
Tiruppur Weaving Plant,20,Morning,0.97,4.9,1.9,70.7
Coimbatore Sorting Hub,39,Night,0.89,5.7,1.2,73.3
Tiruppur Weaving Plant,75,Night,0.96,3.2,1.7,72.0
Tiruppur Weaving Plant,59,Morning,0.98,5.2,1.8,80.2
Chennai Extrusion Center,122,Night,0.84,1.3,3.5,50.2
Tiruppur Weaving Plant,34,Morning,0.78,8.0,2.7,55.7
Tiruppur Weaving Plant,63,Morning,0.99,2.7,2.3,79.0
Salem Compressed Scrap,36,Morning,0.94,4.3,1.4,70.8
Salem Compressed Scrap,112,Night,0.76,9.6,2.4,62.5
Salem Compressed Scrap,72,Afternoon,0.76,4.0,3.4,46.9
Chennai Extrusion Center,73,Morning,0.97,1.2,2.5,72.6
Chennai Extrusion Center,14,Night,0.71,1.8,2.6,41.6
Tiruppur Weaving Plant,142,Night,0.86,6.4,2.8,66.5
Tiruppur Weaving Plant,40,Afternoon,0.78,8.7,0.6,76.0
Coimbatore Sorting Hub,15,Morning,0.78,1.1,3.6,47.1
Chennai Extrusion Center,128,Night,0.88,7.8,0.3,83.8
Chennai Extrusion Center,80,Afternoon,0.78,4.4,1.5,64.4
Tiruppur Weaving Plant,132,Afternoon,0.8,0.2,0.4,73.2
Salem Compressed Scrap,43,Night,0.98,5.9,1.6,79.4
Salem Compressed Scrap,38,Morning,0.73,3.2,0.4,69.6
Chennai Extrusion Center,87,Morning,0.91,0.5,2.7,66.8
Tiruppur Weaving Plant,138,Night,0.74,6.1,2.4,48.2
Chennai Extrusion Center,98,Night,0.93,9.2,2.3,74.8
Salem Compressed Scrap,11,Night,0.76,0.5,3.9,49.8
Chennai Extrusion Center,94,Afternoon,0.73,1.3,1.9,57.3
Coimbatore Sorting Hub,79,Afternoon,0.94,3.8,0.1,83.8
Salem Compressed Scrap,106,Morning,0.92,4.0,0.4,69.2
Coimbatore Sorting Hub,61,Night,0.79,3.4,2.1,62.8
Tiruppur Weaving Plant,70,Morning,0.79,1.6,2.7,53.9
Salem Compressed Scrap,79,Afternoon,0.92,6.8,3.9,59.7
Salem Compressed Scrap,54,Afternoon,0.77,3.9,0.1,61.2
Salem Compressed Scrap,63,Afternoon,0.73,8.2,1.2,65.1
Coimbatore Sorting Hub,71,Afternoon,0.75,4.8,1.9,72.3
Chennai Extrusion Center,110,Afternoon,0.95,1.8,3.1,62.6
Salem Compressed Scrap,132,Morning,0.96,4.2,4.0,62.5
Coimbatore Sorting Hub,104,Night,0.75,0.2,4.0,37.7
Chennai Extrusion Center,67,Afternoon,0.81,8.6,2.0,62.5
Coimbatore Sorting Hub,84,Night,0.91,5.4,2.4,70.0
Chennai Extrusion Center,22,Night,0.92,6.3,2.7,63.9
Coimbatore Sorting Hub,60,Morning,0.77,9.9,2.7,56.3
Coimbatore Sorting Hub,136,Night,0.94,4.3,0.3,81.9
Coimbatore Sorting Hub,135,Afternoon,0.94,0.5,0.8,78.4
Chennai Extrusion Center,83,Morning,0.87,1.4,1.1,69.1
Salem Compressed Scrap,30,Night,0.78,3.1,2.6,61.5
Coimbatore Sorting Hub,76,Night,0.88,7.8,3.3,61.9
Coimbatore Sorting Hub,85,Morning,0.73,8.0,3.9,45.5
Salem Compressed Scrap,103,Afternoon,0.8,2.7,3.7,49.8
Tiruppur Weaving Plant,136,Afternoon,0.76,8.2,2.4,47.8
Chennai Extrusion Center,85,Night,0.7,3.9,3.4,52.3
Tiruppur Weaving Plant,51,Morning,0.83,5.7,2.9,55.7
Chennai Extrusion Center,90,Morning,0.95,4.1,2.6,76.4
Tiruppur Weaving Plant,42,Night,0.87,8.6,0.4,70.9
Tiruppur Weaving Plant,115,Night,0.95,2.1,3.5,52.5
Coimbatore Sorting Hub,78,Night,0.8,7.3,1.2,64.9
Tiruppur Weaving Plant,110,Afternoon,0.94,5.0,2.1,72.0
Tiruppur Weaving Plant,117,Afternoon,0.77,7.9,2.8,64.1
Salem Compressed Scrap,64,Night,0.96,3.4,1.1,76.3
Chennai Extrusion Center,117,Afternoon,0.86,2.7,2.0,70.0
Tiruppur Weaving Plant,128,Afternoon,0.79,7.7,3.8,48.7
Chennai Extrusion Center,65,Afternoon,0.7,3.9,3.6,40.4
Tiruppur Weaving Plant,136,Afternoon,0.91,3.2,3.4,65.3
Coimbatore Sorting Hub,104,Night,0.99,7.3,3.5,69.4
Tiruppur Weaving Plant,34,Morning,0.79,2.5,1.9,66.2
Tiruppur Weaving Plant,83,Night,0.86,3.9,3.7,57.7
Salem Compressed Scrap,72,Night,0.9,9.8,0.3,84.4
Tiruppur Weaving Plant,62,Night,1.0,8.7,2.2,75.7
Salem Compressed Scrap,84,Afternoon,0.99,8.1,0.1,89.1
Salem Compressed Scrap,11,Morning,0.88,6.1,2.9,60.8
Coimbatore Sorting Hub,81,Morning,0.9,3.0,1.3,70.3
Chennai Extrusion Center,146,Night,0.83,3.1,1.7,57.9
Coimbatore Sorting Hub,114,Night,0.87,1.0,1.2,68.5
Coimbatore Sorting Hub,84,Night,0.89,1.3,3.3,61.1
Coimbatore Sorting Hub,24,Afternoon,0.84,1.8,3.2,63.7
Salem Compressed Scrap,94,Night,0.88,5.4,4.0,52.5
Salem Compressed Scrap,31,Afternoon,0.72,5.0,0.5,63.3
Tiruppur Weaving Plant,140,Afternoon,0.83,5.5,4.0,55.8
Coimbatore Sorting Hub,21,Afternoon,0.71,9.7,1.0,58.6
Chennai Extrusion Center,57,Night,0.99,8.7,1.6,81.7
Tiruppur Weaving Plant,95,Night,0.97,7.4,3.6,66.7
Salem Compressed Scrap,51,Morning,0.78,6.3,3.6,47.1
Chennai Extrusion Center,84,Night,0.92,8.4,3.5,55.1
Salem Compressed Scrap,19,Afternoon,0.98,0.1,2.3,66.8
Chennai Extrusion Center,109,Afternoon,0.88,3.8,0.4,76.6
Chennai Extrusion Center,61,Morning,0.94,8.0,1.7,69.3
Coimbatore Sorting Hub,25,Night,0.71,7.8,3.7,46.7
Coimbatore Sorting Hub,81,Night,0.81,4.2,3.3,58.8
Chennai Extrusion Center,45,Afternoon,0.99,7.0,3.0,71.3
Salem Compressed Scrap,104,Morning,0.93,0.1,2.6,59.1
Salem Compressed Scrap,25,Afternoon,0.71,3.8,2.8,46.3
Tiruppur Weaving Plant,89,Afternoon,0.97,5.1,0.6,74.3
Chennai Extrusion Center,115,Night,0.9,6.2,1.2,68.6
Chennai Extrusion Center,16,Night,0.99,8.7,0.9,76.9
Chennai Extrusion Center,23,Morning,0.82,8.2,3.1,50.3
Coimbatore Sorting Hub,49,Afternoon,0.78,6.8,1.5,64.4
Salem Compressed Scrap,73,Afternoon,0.77,5.2,0.1,76.7
Tiruppur Weaving Plant,111,Morning,0.94,7.1,1.8,65.3
Tiruppur Weaving Plant,10,Night,0.81,4.6,2.6,59.5
Tiruppur Weaving Plant,17,Night,0.74,7.4,0.2,65.8
Tiruppur Weaving Plant,139,Night,0.82,2.6,3.7,51.6
Tiruppur Weaving Plant,37,Night,0.91,9.3,1.5,76.8
Tiruppur Weaving Plant,111,Afternoon,0.82,3.4,0.4,69.6
Salem Compressed Scrap,32,Morning,0.79,3.3,0.5,60.1
