material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
E-Waste,Electronics,Authorized E-Waste Recycler,50.21,84,69,1188.0,302.0,1.85,59649.48,15163.42,127.65,15291.07,44358.41,290.09,Excellent
Cotton Scrap,Textile,Paper,67.7,88,155,241.2,34.3,1.59,16329.24,2322.11,246.45,2568.56,13760.68,535.74,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,75.16,71,291,1129.5,328.0,1.03,84893.22,24652.48,299.73,24952.21,59941.01,240.22,Excellent
Cotton Scrap,Textile,Paper,71.98,97,281,249.3,32.2,1.84,17944.61,2317.76,517.04,2834.8,15109.81,533.01,Excellent
Steel Slag,Steel,Construction,40.66,87,101,113.47,14.8,1.96,4613.69,601.77,197.96,799.73,3813.96,476.91,Excellent
Bagasse,Sugar,Paper,96.32,70,308,137.5,19.8,1.42,13244.0,1907.14,437.36,2344.5,10899.5,464.9,Excellent
Plastic Scrap,Packaging,Plastic Recycling,41.11,70,155,275.0,44.0,1.9,11305.25,1808.84,294.5,2103.34,9201.91,437.49,Excellent
Food Waste,Food,Biogas,79.17,83,385,78.9,10.13,2.06,6246.51,801.99,793.1,1595.09,4651.42,291.61,Excellent
Cotton Scrap,Textile,Paper,67.32,87,250,240.3,34.53,0.96,16177.0,2324.56,240.0,2564.56,13612.44,530.79,Excellent
Cotton Scrap,Textile,Paper,22.41,79,189,233.1,36.4,1.79,5223.77,815.72,338.31,1154.03,4069.74,352.65,Excellent
Rice Husk,Agriculture,Biofuel,71.63,83,437,124.92,20.27,0.86,8948.02,1451.94,375.82,1827.76,7120.26,389.56,Excellent
Bagasse,Sugar,Paper,77.28,88,221,147.4,17.64,2.04,11391.07,1363.22,450.84,1814.06,9577.01,527.93,Excellent
Bagasse,Sugar,Paper,31.15,80,416,143.0,18.6,1.97,4454.45,579.39,819.52,1398.91,3055.54,218.42,Excellent
Fly Ash,Thermal Power,Cement,68.94,90,24,94.5,11.6,1.77,6514.83,799.7,42.48,842.18,5672.65,673.57,Excellent
Food Waste,Food,Biogas,61.48,98,134,83.4,9.13,1.49,5127.43,561.31,199.66,760.97,4366.46,573.8,Excellent
Glass Waste,Glass,Glass Recycling,31.58,99,481,139.5,19.95,1.01,4405.41,630.02,485.81,1115.83,3289.58,294.81,Excellent
Bagasse,Sugar,Paper,32.95,92,170,149.6,17.16,1.47,4929.32,565.42,249.9,815.32,4114.0,504.59,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,75.56,94,206,712.4,169.2,1.74,53828.94,12784.75,358.44,13143.19,40685.75,309.56,Excellent
Glass Waste,Glass,Glass Recycling,69.29,94,459,137.0,20.68,1.19,9492.73,1432.92,546.21,1979.13,7513.6,379.64,Excellent
Used Oil,Automotive,Authorized Oil Recycler,16.44,71,472,564.75,131.2,0.93,9284.49,2156.93,438.96,2595.89,6688.6,257.66,Excellent
Bagasse,Sugar,Paper,97.66,70,485,137.5,19.8,1.04,13428.25,1933.67,504.4,2438.07,10990.18,450.77,Excellent
Bagasse,Sugar,Paper,92.7,71,358,138.05,19.68,0.89,12797.24,1824.34,318.62,2142.96,10654.28,497.18,Excellent
Paper Sludge,Paper,Brick Manufacturing,66.56,77,293,96.38,14.75,1.42,6415.05,981.76,416.06,1397.82,5017.23,358.93,Excellent
Bagasse,Sugar,Paper,45.44,97,138,152.35,16.56,2.14,6922.78,752.49,295.32,1047.81,5874.97,560.69,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,24.22,84,16,1188.0,302.0,1.12,28773.36,7314.44,17.92,7332.36,21441.0,292.42,Excellent
Bagasse,Sugar,Paper,15.73,87,495,146.85,17.76,0.86,2309.95,279.36,425.7,705.06,1604.89,227.62,Excellent
Cotton Scrap,Textile,Paper,20.27,84,259,237.6,35.23,1.37,4816.15,714.11,354.83,1068.94,3747.21,350.55,Excellent
Rice Husk,Agriculture,Biofuel,3.68,88,64,127.3,19.6,0.91,468.46,72.13,58.24,130.37,338.09,259.33,Excellent
Plastic Scrap,Packaging,Plastic Recycling,38.99,74,395,279.4,42.93,0.94,10893.81,1673.84,371.3,2045.14,8848.67,432.67,Excellent
Paper Sludge,Paper,Brick Manufacturing,55.1,77,192,96.38,14.75,1.7,5310.54,812.73,326.4,1139.13,4171.41,366.19,Excellent
Paper Sludge,Paper,Brick Manufacturing,71.73,99,253,104.62,12.69,1.76,7504.39,910.25,445.28,1355.53,6148.86,453.61,Excellent
Cotton Scrap,Textile,Paper,70.19,71,100,225.9,38.27,1.86,15855.92,2686.17,186.0,2872.17,12983.75,452.05,Excellent
Paper Sludge,Paper,Brick Manufacturing,43.76,80,272,97.5,14.47,0.9,4266.6,633.21,244.8,878.01,3388.59,385.94,Excellent
Rice Husk,Agriculture,Biofuel,45.54,79,368,123.02,20.8,0.98,5602.33,947.23,360.64,1307.87,4294.46,328.36,Excellent
Cotton Scrap,Textile,Paper,88.39,81,253,234.9,35.93,1.5,20762.81,3175.85,379.5,3555.35,17207.46,483.99,Excellent
Glass Waste,Glass,Glass Recycling,26.09,78,386,129.0,23.03,2.41,3365.61,600.85,930.26,1531.11,1834.5,119.82,Excellent
Food Waste,Food,Biogas,26.62,79,56,77.7,10.4,1.22,2068.37,276.85,68.32,345.17,1723.2,499.23,Excellent
Glass Waste,Glass,Glass Recycling,15.3,96,322,138.0,20.39,2.2,2111.4,311.97,708.4,1020.37,1091.03,106.92,Excellent
Used Oil,Automotive,Authorized Oil Recycler,98.98,77,383,578.25,126.4,1.79,57235.19,12511.07,685.57,13196.64,44038.55,333.71,Excellent
Fly Ash,Thermal Power,Cement,28.27,70,79,87.5,13.2,1.52,2473.62,373.16,120.08,493.24,1980.38,401.5,Excellent
Rice Husk,Agriculture,Biofuel,61.29,70,26,118.75,22.0,1.72,7278.19,1348.38,44.72,1393.1,5885.09,422.45,Excellent
Food Waste,Food,Biogas,31.33,86,139,79.8,9.93,1.25,2500.13,311.11,173.75,484.86,2015.27,415.64,Excellent
Plastic Scrap,Packaging,Plastic Recycling,70.2,86,126,292.6,39.73,2.08,20540.52,2789.05,262.08,3051.13,17489.39,573.21,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,73.47,80,408,676.0,186.0,1.27,49665.72,13665.42,518.16,14183.58,35482.14,250.16,Excellent
Steel Slag,Steel,Construction,12.68,84,324,112.2,15.1,2.21,1422.7,191.47,716.04,907.51,515.19,56.77,High Profit
Food Waste,Food,Biogas,60.95,98,256,83.4,9.13,1.2,5083.23,556.47,307.2,863.67,4219.56,488.56,Excellent
Used Oil,Automotive,Authorized Oil Recycler,28.56,89,193,605.25,116.8,0.87,17285.94,3335.81,167.91,3503.72,13782.22,393.36,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,58.71,72,91,655.2,195.6,1.33,38466.79,11483.68,121.03,11604.71,26862.08,231.48,Excellent
Plastic Scrap,Packaging,Plastic Recycling,40.37,87,119,293.7,39.47,1.36,11856.67,1593.4,161.84,1755.24,10101.43,575.5,Excellent
Cotton Scrap,Textile,Paper,5.09,87,60,240.3,34.53,0.82,1223.13,175.76,49.2,224.96,998.17,443.71,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,92.4,88,232,696.8,176.4,0.96,64384.32,16299.36,222.72,16522.08,47862.24,289.69,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,58.02,82,93,1179.0,306.0,1.98,68405.58,17754.12,184.14,17938.26,50467.32,281.34,Excellent
Rice Husk,Agriculture,Biofuel,16.41,86,260,126.35,19.87,1.61,2073.4,326.07,418.6,744.67,1328.73,178.43,Excellent
Steel Slag,Steel,Construction,31.88,80,393,110.5,15.5,1.55,3522.74,494.14,609.15,1103.29,2419.45,219.29,Excellent
Fly Ash,Thermal Power,Cement,62.26,97,380,96.95,11.04,2.01,6036.11,687.35,763.8,1451.15,4584.96,315.95,Excellent
Used Oil,Automotive,Authorized Oil Recycler,71.56,79,410,582.75,124.8,1.66,41701.59,8930.69,680.6,9611.29,32090.3,333.88,Excellent
Food Waste,Food,Biogas,58.68,77,376,77.1,10.53,2.29,4524.23,617.9,861.04,1478.94,3045.29,205.91,Excellent
Rice Husk,Agriculture,Biofuel,48.87,80,203,123.5,20.67,0.84,6035.44,1010.14,170.52,1180.66,4854.78,411.19,Excellent
Fly Ash,Thermal Power,Cement,77.42,72,142,88.2,13.04,1.28,6828.44,1009.56,181.76,1191.32,5637.12,473.18,Excellent
Glass Waste,Glass,Glass Recycling,14.98,99,221,139.5,19.95,0.8,2089.71,298.85,176.8,475.65,1614.06,339.34,Excellent
Glass Waste,Glass,Glass Recycling,92.24,89,397,134.5,21.41,2.33,12406.28,1974.86,925.01,2899.87,9506.41,327.82,Excellent
Steel Slag,Steel,Construction,45.11,96,71,117.3,13.9,2.4,5291.4,627.03,170.4,797.43,4493.97,563.56,Excellent
Food Waste,Food,Biogas,97.75,78,192,77.4,10.47,1.72,7565.85,1023.44,330.24,1353.68,6212.17,458.91,Excellent
Bagasse,Sugar,Paper,78.54,71,337,138.05,19.68,2.47,10842.45,1545.67,832.39,2378.06,8464.39,355.94,Excellent
Glass Waste,Glass,Glass Recycling,64.01,76,194,128.0,23.32,1.68,8193.28,1492.71,325.92,1818.63,6374.65,350.52,Excellent
Bagasse,Sugar,Paper,56.04,75,56,140.25,19.2,2.16,7859.61,1075.97,120.96,1196.93,6662.68,556.65,Excellent
Cotton Scrap,Textile,Paper,68.72,91,467,243.9,33.6,2.2,16760.81,2308.99,1027.4,3336.39,13424.42,402.36,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,18.88,70,436,650.0,198.0,1.67,12272.0,3738.24,728.12,4466.36,7805.64,174.77,Excellent
Steel Slag,Steel,Construction,50.83,74,367,107.95,16.1,2.3,5487.1,818.36,844.1,1662.46,3824.64,230.06,Excellent
Cotton Scrap,Textile,Paper,73.57,74,173,228.6,37.57,1.33,16818.1,2764.02,230.09,2994.11,13823.99,461.71,Excellent
Paper Sludge,Paper,Brick Manufacturing,26.28,97,377,103.88,12.88,0.84,2729.97,338.49,316.68,655.17,2074.8,316.68,Excellent
Food Waste,Food,Biogas,62.1,95,44,82.5,9.33,0.92,5123.25,579.39,40.48,619.87,4503.38,726.5,Excellent
Food Waste,Food,Biogas,3.71,91,68,81.3,9.6,2.34,301.62,35.62,159.12,194.74,106.88,54.88,High Profit
Steel Slag,Steel,Construction,44.66,81,217,110.93,15.4,1.66,4954.13,687.76,360.22,1047.98,3906.15,372.73,Excellent
Paper Sludge,Paper,Brick Manufacturing,24.44,86,199,99.75,13.91,1.2,2437.89,339.96,238.8,578.76,1859.13,321.23,Excellent
Fly Ash,Thermal Power,Cement,8.79,70,358,87.5,13.2,2.25,769.12,116.03,805.5,921.53,-152.41,-16.54,Loss
Used Oil,Automotive,Authorized Oil Recycler,4.51,78,199,580.5,125.6,1.73,2618.05,566.46,344.27,910.73,1707.32,187.47,Excellent
Fly Ash,Thermal Power,Cement,34.47,89,242,94.15,11.68,2.35,3245.35,402.61,568.7,971.31,2274.04,234.12,Excellent
Rice Husk,Agriculture,Biofuel,81.48,93,404,129.68,18.93,2.06,10566.33,1542.42,832.24,2374.66,8191.67,344.96,Excellent
Used Oil,Automotive,Authorized Oil Recycler,4.96,84,38,594.0,120.8,1.32,2946.24,599.17,50.16,649.33,2296.91,353.74,Excellent
Fly Ash,Thermal Power,Cement,10.01,92,328,95.2,11.44,2.37,952.95,114.51,777.36,891.87,61.08,6.85,Low Profit
Chemical Sludge,Chemical,Hazardous Treatment Facility,93.36,96,75,717.6,166.8,2.07,66995.14,15572.45,155.25,15727.7,51267.44,325.97,Excellent
Rice Husk,Agriculture,Biofuel,88.02,70,464,118.75,22.0,1.51,10452.38,1936.44,700.64,2637.08,7815.3,296.36,Excellent
Glass Waste,Glass,Glass Recycling,91.75,92,94,136.0,20.97,1.4,12478.0,1924.0,131.6,2055.6,10422.4,507.02,Excellent
Cotton Scrap,Textile,Paper,16.02,91,154,243.9,33.6,0.86,3907.28,538.27,132.44,670.71,3236.57,482.56,Excellent
Rice Husk,Agriculture,Biofuel,27.65,79,407,123.02,20.8,2.05,3401.5,575.12,834.35,1409.47,1992.03,141.33,Excellent
Steel Slag,Steel,Construction,11.21,87,105,113.47,14.8,1.99,1272.0,165.91,208.95,374.86,897.14,239.33,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,95.52,70,136,650.0,198.0,0.92,62088.0,18912.96,125.12,19038.08,43049.92,226.13,Excellent
Plastic Scrap,Packaging,Plastic Recycling,87.24,88,139,294.8,39.2,1.11,25718.35,3419.81,154.29,3574.1,22144.25,619.58,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,46.15,76,392,665.6,190.8,2.02,30717.44,8805.42,791.84,9597.26,21120.18,220.06,Excellent
Used Oil,Automotive,Authorized Oil Recycler,12.64,98,412,625.5,109.6,1.88,7906.32,1385.34,774.56,2159.9,5746.42,266.05,Excellent
Fly Ash,Thermal Power,Cement,60.83,94,475,95.9,11.28,1.42,5833.6,686.16,674.5,1360.66,4472.94,328.73,Excellent
Bagasse,Sugar,Paper,45.68,98,319,152.9,16.44,2.36,6984.47,750.98,752.84,1503.82,5480.65,364.45,Excellent
Fly Ash,Thermal Power,Cement,35.34,84,339,92.4,12.08,0.92,3265.42,426.91,311.88,738.79,2526.63,342.0,Excellent
Bagasse,Sugar,Paper,34.47,88,209,147.4,17.64,2.14,5080.88,608.05,447.26,1055.31,4025.57,381.46,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,41.28,87,352,694.2,177.6,1.26,28656.58,7331.33,443.52,7774.85,20881.73,268.58,Excellent
Food Waste,Food,Biogas,59.92,99,86,83.7,9.07,1.75,5015.3,543.47,150.5,693.97,4321.33,622.7,Excellent
Fly Ash,Thermal Power,Cement,75.38,84,29,92.4,12.08,2.01,6965.11,910.59,58.29,968.88,5996.23,618.88,Excellent
Plastic Scrap,Packaging,Plastic Recycling,60.28,80,354,286.0,41.33,1.82,17240.08,2491.37,644.28,3135.65,14104.43,449.81,Excellent
Food Waste,Food,Biogas,31.72,96,125,82.8,9.27,2.0,2626.42,294.04,250.0,544.04,2082.38,382.76,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,40.67,82,356,1179.0,306.0,2.02,47949.93,12445.02,719.12,13164.14,34785.79,264.25,Excellent
Cotton Scrap,Textile,Paper,84.95,84,16,237.6,35.23,1.57,20184.12,2992.79,25.12,3017.91,17166.21,568.81,Excellent
Rice Husk,Agriculture,Biofuel,39.29,75,310,121.12,21.33,2.24,4758.8,838.06,694.4,1532.46,3226.34,210.53,Excellent
Used Oil,Automotive,Authorized Oil Recycler,30.95,82,334,589.5,122.4,1.56,18245.02,3788.28,521.04,4309.32,13935.7,323.39,Excellent
Fly Ash,Thermal Power,Cement,85.27,83,423,92.05,12.16,1.78,7849.1,1036.88,752.94,1789.82,6059.28,338.54,Excellent
Steel Slag,Steel,Construction,29.65,89,365,114.33,14.6,1.35,3389.88,432.89,492.75,925.64,2464.24,266.22,Excellent
Steel Slag,Steel,Construction,21.86,74,152,107.95,16.1,1.42,2359.79,351.95,215.84,567.79,1792.0,315.61,Excellent
Glass Waste,Glass,Glass Recycling,69.09,73,360,126.5,23.76,1.1,8739.89,1641.58,396.0,2037.58,6702.31,328.93,Excellent
Rice Husk,Agriculture,Biofuel,44.76,96,460,131.1,18.53,1.82,5868.04,829.4,837.2,1666.6,4201.44,252.1,Excellent
Used Oil,Automotive,Authorized Oil Recycler,99.14,92,372,612.0,114.4,2.13,60673.68,11341.62,792.36,12133.98,48539.7,400.03,Excellent
Used Oil,Automotive,Authorized Oil Recycler,6.87,86,444,598.5,119.2,1.0,4111.69,818.9,444.0,1262.9,2848.79,225.58,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,69.16,77,123,1156.5,316.0,2.19,79983.54,21854.56,269.37,22123.93,57859.61,261.53,Excellent
Fly Ash,Thermal Power,Cement,92.99,91,244,94.85,11.52,1.47,8820.1,1071.24,358.68,1429.92,7390.18,516.82,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,82.53,98,39,1251.0,274.0,1.99,103245.03,22613.22,77.61,22690.83,80554.2,355.01,Excellent
Rice Husk,Agriculture,Biofuel,1.13,79,69,123.02,20.8,2.21,139.01,23.5,152.49,175.99,-36.98,-21.01,Loss
Plastic Scrap,Packaging,Plastic Recycling,65.25,88,151,294.8,39.2,1.54,19235.7,2557.8,232.54,2790.34,16445.36,589.37,Excellent
Paper Sludge,Paper,Brick Manufacturing,61.21,94,487,102.75,13.16,1.53,6289.33,805.52,745.11,1550.63,4738.7,305.6,Excellent
Food Waste,Food,Biogas,73.27,72,220,75.6,10.87,1.61,5539.21,796.44,354.2,1150.64,4388.57,381.4,Excellent
Rice Husk,Agriculture,Biofuel,19.86,89,492,127.77,19.47,1.71,2537.51,386.67,841.32,1227.99,1309.52,106.64,Excellent
Used Oil,Automotive,Authorized Oil Recycler,31.33,81,215,587.25,123.2,1.72,18398.54,3859.86,369.8,4229.66,14168.88,334.99,Excellent
Paper Sludge,Paper,Brick Manufacturing,49.61,79,365,97.12,14.56,2.24,4818.12,722.32,817.6,1539.92,3278.2,212.88,Excellent
Rice Husk,Agriculture,Biofuel,32.32,85,264,125.88,20.0,1.88,4068.44,646.4,496.32,1142.72,2925.72,256.03,Excellent
Steel Slag,Steel,Construction,60.42,72,207,107.1,16.3,2.05,6470.98,984.85,424.35,1409.2,5061.78,359.2,Excellent
Steel Slag,Steel,Construction,91.29,79,67,110.07,15.6,1.64,10048.29,1424.12,109.88,1534.0,8514.29,555.04,Excellent
Used Oil,Automotive,Authorized Oil Recycler,54.84,87,166,600.75,118.4,0.95,32945.13,6493.06,157.7,6650.76,26294.37,395.36,Excellent
Steel Slag,Steel,Construction,29.22,94,46,116.45,14.1,2.36,3402.67,412.0,108.56,520.56,2882.11,553.66,Excellent
Used Oil,Automotive,Authorized Oil Recycler,75.98,88,370,603.0,117.6,0.95,45815.94,8935.25,351.5,9286.75,36529.19,393.35,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,54.4,80,253,676.0,186.0,2.47,36774.4,10118.4,624.91,10743.31,26031.09,242.3,Excellent
Rice Husk,Agriculture,Biofuel,20.77,89,151,127.77,19.47,1.68,2653.78,404.39,253.68,658.07,1995.71,303.27,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,45.4,71,45,652.6,196.8,1.74,29628.04,8934.72,78.3,9013.02,20615.02,228.72,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,46.9,72,82,655.2,195.6,1.86,30728.88,9173.64,152.52,9326.16,21402.72,229.49,Excellent
Food Waste,Food,Biogas,10.42,92,350,81.6,9.53,1.64,850.27,99.3,574.0,673.3,176.97,26.28,Moderate Profit
Fly Ash,Thermal Power,Cement,20.18,86,313,93.1,11.92,0.99,1878.76,240.55,309.87,550.42,1328.34,241.33,Excellent
Steel Slag,Steel,Construction,10.54,99,234,118.58,13.6,1.33,1249.83,143.34,311.22,454.56,795.27,174.95,Excellent
Plastic Scrap,Packaging,Plastic Recycling,33.19,84,106,290.4,40.27,2.12,9638.38,1336.56,224.72,1561.28,8077.1,517.34,Excellent
Fly Ash,Thermal Power,Cement,18.7,71,131,87.85,13.12,2.01,1642.79,245.34,263.31,508.65,1134.14,222.97,Excellent
Rice Husk,Agriculture,Biofuel,10.9,71,150,119.22,21.87,2.07,1299.5,238.38,310.5,548.88,750.62,136.75,Excellent
Fly Ash,Thermal Power,Cement,72.98,92,164,95.2,11.44,1.76,6947.7,834.89,288.64,1123.53,5824.17,518.38,Excellent
Fly Ash,Thermal Power,Cement,73.81,96,269,96.6,11.12,1.03,7130.05,820.77,277.07,1097.84,6032.21,549.46,Excellent
Plastic Scrap,Packaging,Plastic Recycling,77.86,95,300,302.5,37.33,1.37,23552.65,2906.51,411.0,3317.51,20235.14,609.95,Excellent
Paper Sludge,Paper,Brick Manufacturing,13.32,97,15,103.88,12.88,2.05,1383.68,171.56,30.75,202.31,1181.37,583.94,Excellent
Paper Sludge,Paper,Brick Manufacturing,11.83,75,127,95.62,14.93,1.88,1131.18,176.62,238.76,415.38,715.8,172.32,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,74.24,85,490,689.0,180.0,2.18,51151.36,13363.2,1068.2,14431.4,36719.96,254.44,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,13.16,92,169,1224.0,286.0,2.15,16107.84,3763.76,363.35,4127.11,11980.73,290.29,Excellent
Fly Ash,Thermal Power,Cement,35.39,97,450,96.95,11.04,1.97,3431.06,390.71,886.5,1277.21,2153.85,168.64,Excellent
Rice Husk,Agriculture,Biofuel,5.26,95,494,130.62,18.67,1.1,687.06,98.2,543.4,641.6,45.46,7.09,Low Profit
Cotton Scrap,Textile,Paper,62.58,98,408,250.2,31.97,2.06,15657.52,2000.68,840.48,2841.16,12816.36,451.1,Excellent
Food Waste,Food,Biogas,58.11,91,18,81.3,9.6,1.12,4724.34,557.86,20.16,578.02,4146.32,717.33,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,9.33,82,320,681.2,183.6,1.9,6355.6,1712.99,608.0,2320.99,4034.61,173.83,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,66.01,72,36,1134.0,326.0,1.21,74855.34,21519.26,43.56,21562.82,53292.52,247.15,Excellent
Fly Ash,Thermal Power,Cement,59.01,74,442,88.9,12.88,1.32,5245.99,760.05,583.44,1343.49,3902.5,290.47,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,73.18,91,184,1219.5,288.0,1.16,89243.01,21075.84,213.44,21289.28,67953.73,319.19,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,85.88,75,488,1147.5,320.0,2.05,98547.3,27481.6,1000.4,28482.0,70065.3,246.0,Excellent
Food Waste,Food,Biogas,12.43,96,418,82.8,9.27,1.07,1029.2,115.23,447.26,562.49,466.71,82.97,Excellent
Glass Waste,Glass,Glass Recycling,52.73,88,206,134.0,21.56,2.11,7065.82,1136.86,434.66,1571.52,5494.3,349.62,Excellent
Plastic Scrap,Packaging,Plastic Recycling,65.28,99,41,306.9,36.27,2.18,20034.43,2367.71,89.38,2457.09,17577.34,715.37,Excellent
Rice Husk,Agriculture,Biofuel,64.43,87,444,126.83,19.73,1.2,8171.66,1271.2,532.8,1804.0,6367.66,352.97,Excellent
Food Waste,Food,Biogas,72.94,94,270,82.2,9.4,1.38,5995.67,685.64,372.6,1058.24,4937.43,466.57,Excellent
Cotton Scrap,Textile,Paper,70.17,99,77,251.1,31.73,1.38,17619.69,2226.49,106.26,2332.75,15286.94,655.32,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,50.67,89,135,1210.5,292.0,2.44,61336.04,14795.64,329.4,15125.04,46211.0,305.53,Excellent
Cotton Scrap,Textile,Paper,65.21,83,12,236.7,35.47,1.6,15435.21,2313.0,19.2,2332.2,13103.01,561.83,Excellent
Cotton Scrap,Textile,Paper,19.71,86,299,239.4,34.77,1.65,4718.57,685.32,493.35,1178.67,3539.9,300.33,Excellent
Glass Waste,Glass,Glass Recycling,6.74,73,231,126.5,23.76,1.62,852.61,160.14,374.22,534.36,318.25,59.56,High Profit
Plastic Scrap,Packaging,Plastic Recycling,78.61,90,155,297.0,38.67,2.39,23347.17,3039.85,370.45,3410.3,19936.87,584.61,Excellent
Glass Waste,Glass,Glass Recycling,88.62,88,492,134.0,21.56,1.13,11875.08,1910.65,555.96,2466.61,9408.47,381.43,Excellent
Plastic Scrap,Packaging,Plastic Recycling,57.19,89,423,295.9,38.93,1.84,16922.52,2226.41,778.32,3004.73,13917.79,463.2,Excellent
Plastic Scrap,Packaging,Plastic Recycling,77.14,81,411,287.1,41.07,1.96,22146.89,3168.14,805.56,3973.7,18173.19,457.34,Excellent
Rice Husk,Agriculture,Biofuel,84.84,89,419,127.77,19.47,1.01,10840.01,1651.83,423.19,2075.02,8764.99,422.41,Excellent
Steel Slag,Steel,Construction,76.0,78,94,109.65,15.7,0.89,8333.4,1193.2,83.66,1276.86,7056.54,552.65,Excellent
Rice Husk,Agriculture,Biofuel,57.71,89,252,127.77,19.47,1.76,7373.61,1123.61,443.52,1567.13,5806.48,370.52,Excellent
Fly Ash,Thermal Power,Cement,73.95,95,234,96.25,11.2,1.65,7117.69,828.24,386.1,1214.34,5903.35,486.14,Excellent
Used Oil,Automotive,Authorized Oil Recycler,44.38,72,185,567.0,130.4,1.24,25163.46,5787.15,229.4,6016.55,19146.91,318.24,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,32.41,80,138,1170.0,310.0,1.24,37919.7,10047.1,171.12,10218.22,27701.48,271.1,Excellent
Food Waste,Food,Biogas,49.86,94,348,82.2,9.4,1.82,4098.49,468.68,633.36,1102.04,2996.45,271.9,Excellent
Cotton Scrap,Textile,Paper,39.91,81,189,234.9,35.93,1.65,9374.86,1433.97,311.85,1745.82,7629.04,436.99,Excellent
Glass Waste,Glass,Glass Recycling,14.09,96,330,138.0,20.39,1.98,1944.42,287.3,653.4,940.7,1003.72,106.7,Excellent
Steel Slag,Steel,Construction,89.3,88,354,113.9,14.7,2.26,10171.27,1312.71,800.04,2112.75,8058.52,381.42,Excellent
Food Waste,Food,Biogas,34.49,92,86,81.6,9.53,1.46,2814.38,328.69,125.56,454.25,2360.13,519.57,Excellent
Food Waste,Food,Biogas,13.49,74,452,76.2,10.73,1.63,1027.94,144.75,736.76,881.51,146.43,16.61,Moderate Profit
Fly Ash,Thermal Power,Cement,91.1,96,111,96.6,11.12,1.03,8800.26,1013.03,114.33,1127.36,7672.9,680.61,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,3.29,95,496,715.0,168.0,2.34,2352.35,552.72,1160.64,1713.36,638.99,37.29,Moderate Profit
Food Waste,Food,Biogas,46.34,87,360,80.1,9.87,1.53,3711.83,457.38,550.8,1008.18,2703.65,268.17,Excellent
Plastic Scrap,Packaging,Plastic Recycling,3.82,70,161,275.0,44.0,2.45,1050.5,168.08,394.45,562.53,487.97,86.75,Excellent
Glass Waste,Glass,Glass Recycling,79.36,80,491,130.0,22.73,2.32,10316.8,1803.85,1139.12,2942.97,7373.83,250.56,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,29.26,87,221,694.2,177.6,2.11,20312.29,5196.58,466.31,5662.89,14649.4,258.69,Excellent
Rice Husk,Agriculture,Biofuel,91.59,78,376,122.55,20.93,2.28,11224.35,1916.98,857.28,2774.26,8450.09,304.59,Excellent
Used Oil,Automotive,Authorized Oil Recycler,75.58,78,270,580.5,125.6,2.1,43874.19,9492.85,567.0,10059.85,33814.34,336.13,Excellent
Used Oil,Automotive,Authorized Oil Recycler,71.93,99,424,627.75,108.8,1.92,45154.06,7825.98,814.08,8640.06,36514.0,422.61,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,23.96,74,49,660.4,193.2,1.67,15823.18,4629.07,81.83,4710.9,11112.28,235.88,Excellent
Paper Sludge,Paper,Brick Manufacturing,7.58,81,427,97.88,14.37,1.28,741.93,108.92,546.56,655.48,86.45,13.19,Low Profit
Chemical Sludge,Chemical,Hazardous Treatment Facility,42.22,90,416,702.0,174.0,1.0,29638.44,7346.28,416.0,7762.28,21876.16,281.83,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,22.12,86,464,691.6,178.8,1.16,15298.19,3955.06,538.24,4493.3,10804.89,240.47,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,28.36,95,402,1237.5,280.0,2.41,35095.5,7940.8,968.82,8909.62,26185.88,293.91,Excellent
